Date,ARI,ATL,BAL,BOS,CHI,CIN,CLE,COL,CWS,DET,HOU,KC,LAA,LAD,MIA,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SD,SEA,SF,STL,TB,TEX,TOR,WAS
5/17/15,,,LAA,,PIT,SF,,,,,TOR,NYY,,COL,ATL,,TB,MIL,,CWS,ARI,,WAS,BOS,,DET,,CLE,,
5/18/15,,,,,,,,PHI,CLE,MIL,OAK,,,,ARI,,,STL,,,,,,,,,,,LAA,
5/19/15,,TB,SEA,TEX,,,,PHI,CLE,MIL,OAK,CIN,,,ARI,,,STL,,,,MIN,CHI,,LAD,,,,LAA,NYY
5/20/15,,TB,SEA,TEX,,,,PHI,CLE,MIL,OAK,CIN,,,ARI,,,STL,,,,MIN,CHI,,LAD,,,,LAA,NYY
5/21/15,,MIL,SEA,TEX,,,,PHI,CLE,HOU,,,,,ARI,,,STL,,,,,CHI,,LAD,,OAK,,LAA,
5/22/15,CHI,MIL,,LAA,,,CIN,SF,MIN,HOU,,STL,,SD,BAL,,,,TEX,,,NYM,,,,,OAK,,SEA,PHI
5/23/15,CHI,MIL,,LAA,,,CIN,SF,MIN,HOU,,STL,,SD,BAL,,,,TEX,,,NYM,,,,,OAK,,SEA,PHI
5/24/15,CHI,MIL,,LAA,,,CIN,SF,MIN,HOU,,STL,,SD,BAL,,,,TEX,,,NYM,,,,,OAK,,SEA,PHI
5/25/15,,,HOU,,WAS,COL,TEX,,,,,,SD,ATL,,SF,BOS,PHI,KC,DET,,MIA,,,,ARI,SEA,,CWS,
5/26/15,,,HOU,,WAS,COL,TEX,,,,,,SD,ATL,,SF,BOS,PHI,KC,DET,,MIA,,,,ARI,SEA,,CWS,
5/27/15,,,HOU,,WAS,COL,TEX,,,,,,SD,ATL,,SF,BOS,PHI,KC,DET,,MIA,,,,ARI,SEA,,CWS,
5/28/15,,,,,,,,,,,,,DET,,,,,,,NYY,,,PIT,CLE,ATL,,,BOS,,
5/29/15,,,TB,,KC,WAS,,,,,CWS,,DET,,,ARI,TOR,MIA,,NYY,COL,,PIT,CLE,ATL,LAD,,BOS,,
5/30/15,,,TB,,KC,WAS,,,,,CWS,,DET,,,ARI,TOR,MIA,,NYY,COL,,PIT,CLE,ATL,LAD,,BOS,,
5/31/15,,,TB,,KC,WAS,,,,,CWS,,DET,,,ARI,TOR,MIA,,NYY,COL,,PIT,CLE,ATL,LAD,,BOS,,
6/1/15,ATL,,,MIN,,,,LAD,,OAK,BAL,CLE,TB,,CHI,,,,,,,,NYM,NYY,PIT,MIL,,,,TOR
6/2/15,ATL,,,MIN,,,,LAD,,OAK,BAL,CLE,TB,,CHI,,,,,,CIN,,NYM,NYY,PIT,MIL,,CWS,,TOR
6/3/15,ATL,,,MIN,,,,LAD,,OAK,BAL,CLE,TB,,CHI,,,,,,CIN,,NYM,NYY,PIT,MIL,,CWS,,TOR
6/4/15,NYM,,,MIN,,,,,,,BAL,TEX,,STL,,,,,,,CIN,,,TB,,,,CWS,,CHI
6/5/15,NYM,PIT,,OAK,,SD,BAL,MIA,DET,,,TEX,,STL,,,MIL,,LAA,,SF,,,TB,,,,,HOU,CHI
6/6/15,NYM,PIT,,OAK,,SD,BAL,MIA,DET,,,TEX,,STL,,,MIL,,LAA,,SF,,,TB,,,,,HOU,CHI
6/7/15,NYM,PIT,,OAK,,SD,BAL,MIA,DET,,,,,STL,,,MIL,,LAA,,SF,,,TB,,,,,HOU,CHI
6/8/15,,SD,,,,PHI,,STL,HOU,CHI,,,,ARI,,,KC,,,,,MIL,,,,,,,MIA,
6/9/15,,SD,BOS,,,PHI,SEA,STL,HOU,CHI,,,,ARI,,,KC,SF,WAS,TEX,,MIL,,,,,LAA,,MIA,
6/10/15,,SD,BOS,,,PHI,SEA,STL,HOU,,,,,ARI,,,KC,SF,WAS,TEX,,MIL,,,,,LAA,,MIA,
